gene_id	go_id	go_ontology	go_term
HIS92_RS00020	GO:0009253	BP	peptidoglycan catabolic process
HIS92_RS00020	GO:0016998	BP	cell wall macromolecule catabolic process
HIS92_RS00020	GO:0000270	BP	peptidoglycan metabolic process
HIS92_RS00020	GO:0008152	BP	metabolic process
HIS92_RS00020	GO:0006022	BP	aminoglycan metabolic process
HIS92_RS00020	GO:0006026	BP	aminoglycan catabolic process
HIS92_RS00020	GO:0006027	BP	glycosaminoglycan catabolic process
HIS92_RS00020	GO:0006807	BP	nitrogen compound metabolic process
HIS92_RS00020	GO:0008150	BP	biological_process
HIS92_RS00020	GO:0009056	BP	catabolic process
HIS92_RS00020	GO:0009057	BP	macromolecule catabolic process
HIS92_RS00020	GO:0030203	BP	glycosaminoglycan metabolic process
HIS92_RS00020	GO:0043170	BP	macromolecule metabolic process
HIS92_RS00020	GO:0071704	BP	organic substance metabolic process
HIS92_RS00020	GO:1901135	BP	carbohydrate derivative metabolic process
HIS92_RS00020	GO:1901136	BP	carbohydrate derivative catabolic process
HIS92_RS00020	GO:1901564	BP	organonitrogen compound metabolic process
HIS92_RS00020	GO:1901565	BP	organonitrogen compound catabolic process
HIS92_RS00020	GO:1901575	BP	organic substance catabolic process
HIS92_RS00020	GO:0009987	BP	cellular process
HIS92_RS00020	GO:0044036	BP	cell wall macromolecule metabolic process
HIS92_RS00020	GO:0044237	BP	cellular metabolic process
HIS92_RS00020	GO:0044248	BP	cellular catabolic process
HIS92_RS00020	GO:0044260	BP	cellular macromolecule metabolic process
HIS92_RS00020	GO:0071554	BP	cell wall organization or biogenesis
HIS92_RS00020	GO:0003796	MF	lysozyme activity
HIS92_RS00020	GO:0003674	MF	molecular_function
HIS92_RS00020	GO:0003824	MF	catalytic activity
HIS92_RS00020	GO:0004553	MF	hydrolase activity, hydrolyzing O-glycosyl compounds
HIS92_RS00020	GO:0016787	MF	hydrolase activity
HIS92_RS00020	GO:0016798	MF	hydrolase activity, acting on glycosyl bonds
HIS92_RS00020	GO:0061783	MF	peptidoglycan muralytic activity
HIS92_RS00025	GO:0009253	BP	peptidoglycan catabolic process
HIS92_RS00025	GO:0000270	BP	peptidoglycan metabolic process
HIS92_RS00025	GO:0008152	BP	metabolic process
HIS92_RS00025	GO:0006022	BP	aminoglycan metabolic process
HIS92_RS00025	GO:0006026	BP	aminoglycan catabolic process
HIS92_RS00025	GO:0006027	BP	glycosaminoglycan catabolic process
HIS92_RS00025	GO:0006807	BP	nitrogen compound metabolic process
HIS92_RS00025	GO:0008150	BP	biological_process
HIS92_RS00025	GO:0009056	BP	catabolic process
HIS92_RS00025	GO:0009057	BP	macromolecule catabolic process
HIS92_RS00025	GO:0030203	BP	glycosaminoglycan metabolic process
HIS92_RS00025	GO:0043170	BP	macromolecule metabolic process
HIS92_RS00025	GO:0071704	BP	organic substance metabolic process
HIS92_RS00025	GO:1901135	BP	carbohydrate derivative metabolic process
HIS92_RS00025	GO:1901136	BP	carbohydrate derivative catabolic process
HIS92_RS00025	GO:1901564	BP	organonitrogen compound metabolic process
HIS92_RS00025	GO:1901565	BP	organonitrogen compound catabolic process
HIS92_RS00025	GO:1901575	BP	organic substance catabolic process
HIS92_RS00025	GO:0008745	MF	N-acetylmuramoyl-L-alanine amidase activity
HIS92_RS00025	GO:0003674	MF	molecular_function
HIS92_RS00025	GO:0003824	MF	catalytic activity
HIS92_RS00025	GO:0016787	MF	hydrolase activity
HIS92_RS00025	GO:0016810	MF	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
HIS92_RS00025	GO:0016811	MF	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
HIS92_RS00025	GO:0061783	MF	peptidoglycan muralytic activity
HIS92_RS00045	GO:0005737	CC	cytoplasm
HIS92_RS00045	GO:0005622	CC	intracellular
HIS92_RS00045	GO:0005575	CC	cellular_component
HIS92_RS00045	GO:0005623	CC	cell
HIS92_RS00045	GO:0044424	CC	intracellular part
HIS92_RS00045	GO:0044464	CC	cell part
HIS92_RS00045	GO:0016462	MF	pyrophosphatase activity
HIS92_RS00045	GO:0003674	MF	molecular_function
HIS92_RS00045	GO:0003824	MF	catalytic activity
HIS92_RS00045	GO:0016787	MF	hydrolase activity
HIS92_RS00045	GO:0016817	MF	hydrolase activity, acting on acid anhydrides
HIS92_RS00045	GO:0016818	MF	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
HIS92_RS00050	GO:0019028	CC	viral capsid
HIS92_RS00050	GO:0005575	CC	cellular_component
HIS92_RS00050	GO:0019012	CC	virion
