sample	replicate	time	fq1	fq2
G	1	0	G1_0_1.fastq.gz	G1_0_2.fastq.gz
G	2	0	G2_0_1.fastq.gz	G2_0_2.fastq.gz
G	1	5	G1_5_1.fastq.gz	G1_5_2.fastq.gz
G	2	5	G2_5_1.fastq.gz	G2_5_2.fastq.gz
G	1	10	G1_10_1.fastq.gz	G1_10_2.fastq.gz
G	2	10	G2_10_1.fastq.gz	G2_10_2.fastq.gz
G	1	20	G1_20_1.fastq.gz	G1_20_2.fastq.gz
G	2	20	G2_20_1.fastq.gz	G2_20_2.fastq.gz
G	1	30	G1_30_1.fastq.gz	G1_30_2.fastq.gz
G	2	30	G2_30_1.fastq.gz	G2_30_2.fastq.gz
G_M	1	5	G1_5M_1.fastq.gz	G1_5M_2.fastq.gz
G_M	2	5	G2_5M_1.fastq.gz	G2_5M_2.fastq.gz
G_M	1	10	G1_10M_1.fastq.gz	G1_10M_2.fastq.gz
G_M	2	10	G2_10M_1.fastq.gz	G2_10M_2.fastq.gz
G_M	1	20	G1_20M_1.fastq.gz	G1_20M_2.fastq.gz
G_M	2	20	G2_20M_1.fastq.gz	G2_20M_2.fastq.gz
G_M	1	30	G1_30M_1.fastq.gz	G1_30M_2.fastq.gz
G_M	2	30	G2_30M_1.fastq.gz	G2_30M_2.fastq.gz
