Geneid	Chr	Start	End	Strand	Length	pDG7_M-t0-3	pDG7-t0-3	pDG_M-t0-3	pDG-t0-3
HIS92_RS00005	NZ_CP051858.1	624	1247	+	624	7	9	9	8
HIS92_RS00010	NZ_CP051858.1	1425	1781	+	357	233	185	121	263
HIS92_RS00015	NZ_CP051858.1	1916	2368	+	453	151	49	73	93
HIS92_RS00020	NZ_CP051858.1	2760	3590	-	831	16	9	21	22
HIS92_RS00025	NZ_CP051858.1	3926	4660	-	735	10	10	10	29
HIS92_RS00030	NZ_CP051858.1	4850	5299	-	450	30	20	11	24
HIS92_RS00035	NZ_CP051858.1	5541	5729	+	189	8	22	16	31
HIS92_RS00040	NZ_CP051858.1	5758	6884	-	1127	74	40	29	33
HIS92_RS00045	NZ_CP051858.1	6890	7819	-	930	7500	13655	4441	11987
HIS92_RS00050	NZ_CP051858.1	7980	8645	-	666	108	130	34	128
HIS92_RS00055	NZ_CP051858.1	8879	9382	-	504	73	94	22	113
HIS92_RS00060	NZ_CP051858.1	9488	10129	+	642	39	73	22	61
HIS92_RS00065	NZ_CP051858.1	10196	10588	-	393	8	6	6	8
HIS92_RS00070	NZ_CP051858.1	10661	12151	-	1491	10	2	24	2
HIS92_RS00075	NZ_CP051858.1	12281	13765	-	1485	11	13	10	12
HIS92_RS00080	NZ_CP051858.1	13783	14679	-	897	5	9	7	4
HIS92_RS00085	NZ_CP051858.1	14702	15643	-	942	6	4	10	7
HIS92_RS00090	NZ_CP051858.1	15640	16677	-	1038	3	4	14	2
HIS92_RS00095	NZ_CP051858.1	16674	17849	-	1176	4	3	7	1
HIS92_RS00100	NZ_CP051858.1	18030	19691	+	1662	46	52	33	70
HIS92_RS00105	NZ_CP051858.1	19800	20072	+	273	15	10	5	16
HIS92_RS00110	NZ_CP051858.1	20069	20401	+	333	4	14	13	21
HIS92_RS00115	NZ_CP051858.1	20398	21642	+	1245	36	53	36	53
HIS92_RS00120	NZ_CP051858.1	21700	22423	-	724	709	983	226	825
HIS92_RS00125	NZ_CP051858.1	22581	22889	-	309	837	659	1017	553
HIS92_RS00130	NZ_CP051858.1	22877	23326	-	450	527	1142	1162	771
HIS92_RS00135	NZ_CP051858.1	23585	24349	+	765	637	704	661	808
HIS92_RS00140	NZ_CP051858.1	24583	25188	+	606	504	557	185	437
HIS92_RS00145	NZ_CP051858.1	25357	25581	+	225	3	4	3	3
HIS92_RS00150	NZ_CP051858.1	25622	26803	-	1182	1001	1267	185	1184
HIS92_RS00155	NZ_CP051858.1	27143	28765	-	1623	10	13	6	10
HIS92_RS00160	NZ_CP051858.1	28785	29786	-	1002	4	4	7	4
HIS92_RS00165	NZ_CP051858.1	29827	30888	-	1062	4	2	5	0
HIS92_RS00170	NZ_CP051858.1	31075	31401	-	327	7	9	9	27
HIS92_RS00175	NZ_CP051858.1	31662	32018	-	357	13	14	13	10
HIS92_RS00180	NZ_CP051858.1	32303	33229	+	927	24	43	23	56
HIS92_RS00185	NZ_CP051858.1	33249	33845	-	597	15	7	46	8
HIS92_RS00190	NZ_CP051858.1	33842	34333	-	492	4	1	14	1
HIS92_RS00195	NZ_CP051858.1	34866	35096	-	231	28	82	29	71
HIS92_RS00200	NZ_CP051858.1	35364	35627	-	264	4	10	5	14
HIS92_RS00205	NZ_CP051858.1	35753	36313	-	561	13	12	2	22
HIS92_RS00210	NZ_CP051858.1	36416	37177	-	762	114	320	109	375
HIS92_RS00215	NZ_CP051858.1	37405	39144	-	1740	95	33	19	41
HIS92_RS00220	NZ_CP051858.1	39475	40317	-	843	1370	922	91	665
HIS92_RS00225	NZ_CP051858.1	40507	41883	-	1377	32	30	18	31
HIS92_RS00230	NZ_CP051858.1	41876	42523	-	648	16	18	6	16
HIS92_RS00235	NZ_CP051858.1	42645	43061	+	417	0	0	1	1
HIS92_RS00240	NZ_CP051858.1	43260	43754	-	495	0	1	0	0
HIS92_RS00245	NZ_CP051858.1	43779	45179	-	1401	12	28	8	15
HIS92_RS00250	NZ_CP051858.1	45197	45946	-	750	0	4	4	2
HIS92_RS00255	NZ_CP051858.1	45959	47548	-	1590	9	15	13	8
HIS92_RS00260	NZ_CP051858.1	47838	48698	-	861	1425	1343	752	1404
HIS92_RS00265	NZ_CP051858.1	49159	49611	-	453	3	7	1	2
HIS92_RS00270	NZ_CP051858.1	49626	49826	-	201	0	0	0	0
HIS92_RS00275	NZ_CP051858.1	50194	50742	-	549	1	3	11	12
HIS92_RS00280	NZ_CP051858.1	51400	51831	+	432	157	146	57	150
HIS92_RS00285	NZ_CP051858.1	52185	52955	-	771	65	119	34	158
HIS92_RS00290	NZ_CP051858.1	53212	53991	-	780	11	12	6	11
HIS92_RS00295	NZ_CP051858.1	54244	54564	+	321	5153	4601	1918	4601
HIS92_RS00300	NZ_CP051858.1	54619	56154	-	1536	299	423	219	375
HIS92_RS00305	NZ_CP051858.1	56178	56885	-	708	54	131	55	111
HIS92_RS00310	NZ_CP051858.1	56904	57614	-	711	19	45	18	25
HIS92_RS00315	NZ_CP051858.1	57628	58251	-	624	25	27	53	33
HIS92_RS00320	NZ_CP051858.1	58412	60148	-	1737	47	58	36	42
HIS92_RS00325	NZ_CP051858.1	60250	61464	+	1215	2	7	25	2
HIS92_RS00330	NZ_CP051858.1	61615	62286	-	672	5	7	27	1
HIS92_RS00335	NZ_CP051858.1	62310	62480	-	171	0	3	0	0
HIS92_RS00340	NZ_CP051858.1	62621	62767	-	147	21	10	4	15
HIS92_RS00345	NZ_CP051858.1	63028	63423	-	396	2153	2025	995	1928
HIS92_RS00350	NZ_CP051858.1	63503	63745	-	243	3	2	4	3
HIS92_RS00355	NZ_CP051858.1	63924	64889	-	966	19	8	8	8
HIS92_RS00360	NZ_CP051858.1	64967	65155	-	189	16	4	5	4
HIS92_RS00365	NZ_CP051858.1	65225	66010	-	786	23	48	7	33
HIS92_RS00370	NZ_CP051858.1	66206	66574	-	369	10	19	10	24
HIS92_RS00375	NZ_CP051858.1	67051	67203	+	153	0	0	1	0
HIS92_RS00380	NZ_CP051858.1	67373	67807	+	435	16	12	14	10
HIS92_RS00385	NZ_CP051858.1	68102	69304	+	1203	1608	596	753	520
HIS92_RS00390	NZ_CP051858.1	69458	69757	+	300	33	10	15	11
HIS92_RS00395	NZ_CP051858.1	69927	70289	+	363	22	7	3	17
HIS92_RS00400	NZ_CP051858.1	70584	71783	+	1200	250	459	239	522
HIS92_RS00405	NZ_CP051858.1	71840	72238	+	399	12	14	22	18
HIS92_RS00410	NZ_CP051858.1	72323	73144	+	822	41	60	35	64
HIS92_RS00415	NZ_CP051858.1	73159	73368	-	210	1	2	2	3
HIS92_RS00420	NZ_CP051858.1	73426	74019	-	594	12	4	2	2
HIS92_RS00425	NZ_CP051858.1	74462	74602	+	141	6	15	33	17
HIS92_RS00430	NZ_CP051858.1	74630	74773	+	144	3	9	10	10
HIS92_RS00435	NZ_CP051858.1	74802	74945	+	144	1	4	18	8
HIS92_RS00440	NZ_CP051858.1	74972	75112	+	141	0	6	6	4
HIS92_RS00445	NZ_CP051858.1	75140	75280	+	141	8	21	34	12
HIS92_RS00450	NZ_CP051858.1	75521	76606	-	1086	1398	2065	608	1981
HIS92_RS00455	NZ_CP051858.1	76756	77577	+	822	599	1165	384	1274
HIS92_RS00460	NZ_CP051858.1	78094	79206	-	1113	5	7	2	8
HIS92_RS00465	NZ_CP051858.1	79283	80131	-	849	1	1	1	3
HIS92_RS00470	NZ_CP051858.1	80148	81134	-	987	0	0	4	0
HIS92_RS00475	NZ_CP051858.1	81152	81907	-	756	0	0	0	0
HIS92_RS00480	NZ_CP051858.1	82089	82601	-	513	51	43	24	53
HIS92_RS00485	NZ_CP051858.1	82775	83830	-	1056	55	79	27	74
HIS92_RS00490	NZ_CP051858.1	83843	84316	-	474	38	57	19	42
HIS92_RS00495	NZ_CP051858.1	84458	85147	-	690	37	71	24	64
HIS92_RS00500	NZ_CP051858.1	85163	85960	-	798	16	36	15	52
HIS92_RS00505	NZ_CP051858.1	86197	86598	-	402	3	4	2	8
HIS92_RS00510	NZ_CP051858.1	86655	87593	-	939	165	293	105	225
HIS92_RS00515	NZ_CP051858.1	87664	88185	-	522	5	3	2	1
HIS92_RS00520	NZ_CP051858.1	88201	88701	-	501	7	4	1	8
HIS92_RS00525	NZ_CP051858.1	88735	89280	-	546	2	6	0	4
HIS92_RS00530	NZ_CP051858.1	89296	89997	-	702	3	5	5	3
HIS92_RS00535	NZ_CP051858.1	90014	90697	-	684	25	45	9	25
HIS92_RS00540	NZ_CP051858.1	90896	91843	-	948	2	2	2	3
HIS92_RS00545	NZ_CP051858.1	92018	92407	-	390	24	19	5	18
