Geneid	Chr	Start	End	Strand	Length	G-t0-1	G-t0-2	G-t5-1	G-t5-2	G-t10-1	G-t10-2	G-t20-1	G-t20-2	G-t30-1	G-t30-2	G_M-t5-1	G_M-t5-2	G_M-t10-1	G_M-t10-2	G_M-t20-1	G_M-t20-2	G_M-t30-1	G_M-t30-2
HIS92_RS00005	NZ_CP051858.1	624	1247	+	624	2	4	6	10	4	3	8	3	6	7	3	11	3	1	4	2	2	1
HIS92_RS00010	NZ_CP051858.1	1425	1781	+	357	118	83	132	89	161	119	168	87	149	123	152	74	167	76	147	174	82	74
HIS92_RS00015	NZ_CP051858.1	1916	2368	+	453	21	23	35	36	44	33	74	38	34	47	40	33	37	11	53	52	20	41
HIS92_RS00020	NZ_CP051858.1	2760	3590	-	831	3	8	7	5	7	10	12	11	8	4	4	9	5	9	3	10	11	11
HIS92_RS00025	NZ_CP051858.1	3926	4660	-	735	21	19	18	8	24	14	26	12	18	8	11	18	20	17	16	13	24	19
HIS92_RS00030	NZ_CP051858.1	4850	5299	-	450	29	19	60	33	49	48	93	33	43	33	40	22	53	39	35	31	56	32
HIS92_RS00035	NZ_CP051858.1	5541	5729	+	189	10	6	6	7	7	3	13	7	5	7	8	4	6	0	9	11	7	9
HIS92_RS00040	NZ_CP051858.1	5758	6884	-	1127	8	27	27	29	45	31	49	24	26	17	33	18	25	17	34	22	21	17
HIS92_RS00045	NZ_CP051858.1	6890	7819	-	930	13276	8632	8017	7140	8276	7150	8182	6128	12238	6343	7669	5316	7848	5273	6350	10897	6201	7219
HIS92_RS00050	NZ_CP051858.1	7980	8645	-	666	34	38	47	26	40	27	47	21	33	20	19	27	44	18	35	28	24	22
HIS92_RS00055	NZ_CP051858.1	8879	9382	-	504	23	29	30	39	36	46	38	37	44	37	32	34	36	19	37	39	29	23
HIS92_RS00060	NZ_CP051858.1	9488	10129	+	642	9	13	12	30	9	12	15	5	8	7	8	15	17	16	16	5	5	9
HIS92_RS00065	NZ_CP051858.1	10196	10588	-	393	1	3	3	2	2	1	2	4	0	3	0	1	0	1	5	2	2	3
HIS92_RS00070	NZ_CP051858.1	10661	12151	-	1491	2	6	3	5	2	3	3	6	2	9	6	5	5	1	6	7	5	7
