Geneid	Chr	Start	End	Strand	Length	pDG_M-t0-1	pDG_M-t0-2	pDG7_M-t0-1	pDG7_M-t0-2	pDG-t0-1	pDG-t0-2	pDG7-t0-1	pDG7-t0-2	GIL01-t0-1	GIL01_M-t0-1
HIS92_RS00005	NZ_CP051858.1	624	1247	+	624	11	29	26	22	10	18	22	22	11	12
HIS92_RS00010	NZ_CP051858.1	1425	1781	+	357	273	284	49	282	275	291	304	383	167	72
HIS92_RS00015	NZ_CP051858.1	1916	2368	+	453	84	121	16	91	99	81	116	118	69	48
HIS92_RS00020	NZ_CP051858.1	2760	3590	-	831	13	13	33	20	9	14	14	41	46	5
HIS92_RS00025	NZ_CP051858.1	3926	4660	-	735	7	9	26	20	13	15	8	22	43	11
HIS92_RS00030	NZ_CP051858.1	4850	5299	-	450	4	5	29	22	10	11	13	28	32	8
HIS92_RS00035	NZ_CP051858.1	5541	5729	+	189	14	17	12	22	21	17	26	17	21	8
HIS92_RS00040	NZ_CP051858.1	5758	6884	-	1127	21	29	14	41	16	19	29	36	45	23
HIS92_RS00045	NZ_CP051858.1	6890	7819	-	930	9089	15478	8931	19562	16596	17833	19282	22662	18911	6643
HIS92_RS00050	NZ_CP051858.1	7980	8645	-	666	37	67	56	53	35	69	64	72	58	38
HIS92_RS00055	NZ_CP051858.1	8879	9382	-	504	22	41	27	53	40	36	72	63	52	23
HIS92_RS00060	NZ_CP051858.1	9488	10129	+	642	41	49	28	78	34	45	58	43	45	11
HIS92_RS00065	NZ_CP051858.1	10196	10588	-	393	2	6	15	3	2	3	8	15	13	5
HIS92_RS00070	NZ_CP051858.1	10661	12151	-	1491	3	8	36	12	5	15	8	26	44	8
HIS92_RS00075	NZ_CP051858.1	12281	13765	-	1485	5	10	31	13	12	10	12	45	54	7
HIS92_RS00080	NZ_CP051858.1	13783	14679	-	897	0	4	16	7	4	8	2	9	15	5
HIS92_RS00085	NZ_CP051858.1	14702	15643	-	942	2	4	9	3	6	6	4	16	29	6
HIS92_RS00090	NZ_CP051858.1	15640	16677	-	1038	1	2	11	7	2	4	0	10	17	6
HIS92_RS00095	NZ_CP051858.1	16674	17849	-	1176	1	2	22	6	2	9	5	18	43	7
HIS92_RS00100	NZ_CP051858.1	18030	19691	+	1662	30	21	22	25	13	33	27	45	40	25
HIS92_RS00105	NZ_CP051858.1	19800	20072	+	273	2	0	5	6	0	1	2	7	1	10
HIS92_RS00110	NZ_CP051858.1	20069	20401	+	333	1	6	1	3	5	2	3	6	4	8
HIS92_RS00115	NZ_CP051858.1	20398	21642	+	1245	17	24	36	40	14	16	11	34	47	28
HIS92_RS00120	NZ_CP051858.1	21700	22423	-	724	348	491	218	622	662	609	737	840	1018	680
