Geneid	Chr	Start	End	Strand	Length	B1-t0-1	B2-t0-2	B3-t0-3	G1-t0-1	G2-t0-2	G3-t0-3	B1M-t0-1	B2M-t0-2	B3M-t0-3	G1M-t0-1	G2M-t0-2	G3M-t0-3
HIS92_RS00005	NZ_CP051858.1	624	1247	+	624	4	8	14	15	6	11	3	8	15	4	4	7
HIS92_RS00010	NZ_CP051858.1	1425	1781	+	357	96	92	171	124	119	126	25	47	85	29	60	37
HIS92_RS00015	NZ_CP051858.1	1916	2368	+	453	36	36	103	84	60	65	9	23	61	22	32	31
HIS92_RS00020	NZ_CP051858.1	2760	3590	-	831	8	15	9	6	5	12	10	10	22	8	6	7
HIS92_RS00025	NZ_CP051858.1	3926	4660	-	735	17	5	18	9	16	16	12	9	12	11	5	10
HIS92_RS00030	NZ_CP051858.1	4850	5299	-	450	13	18	20	12	19	22	15	11	8	5	11	9
HIS92_RS00035	NZ_CP051858.1	5541	5729	+	189	8	12	9	22	20	19	5	8	4	10	16	5
HIS92_RS00040	NZ_CP051858.1	5758	6884	-	1127	30	33	39	57	30	43	39	31	57	32	39	23
HIS92_RS00045	NZ_CP051858.1	6890	7819	-	930	13479	11650	16017	14420	13515	15182	8550	11341	11439	11505	10101	7497
HIS92_RS00050	NZ_CP051858.1	7980	8645	-	666	75	57	40	61	45	75	46	75	61	48	62	45
HIS92_RS00055	NZ_CP051858.1	8879	9382	-	504	77	53	58	69	78	85	40	38	47	55	61	29
HIS92_RS00060	NZ_CP051858.1	9488	10129	+	642	46	31	33	37	28	33	20	26	30	14	39	24
HIS92_RS00065	NZ_CP051858.1	10196	10588	-	393	8	10	3	8	5	14	1	11	4	6	6	3
HIS92_RS00070	NZ_CP051858.1	10661	12151	-	1491	6	4	0	5	2	8	3	1	6	0	6	4
HIS92_RS00075	NZ_CP051858.1	12281	13765	-	1485	16	6	8	12	18	7	9	9	8	5	8	7
HIS92_RS00080	NZ_CP051858.1	13783	14679	-	897	3	4	6	5	11	1	12	7	8	0	7	7
HIS92_RS00085	NZ_CP051858.1	14702	15643	-	942	2	0	0	3	2	0	4	1	3	0	6	1
HIS92_RS00090	NZ_CP051858.1	15640	16677	-	1038	1	0	10	4	2	2	5	6	7	1	4	2
HIS92_RS00095	NZ_CP051858.1	16674	17849	-	1176	0	4	3	0	2	1	1	4	4	2	0	1
HIS92_RS00100	NZ_CP051858.1	18030	19691	+	1662	74	46	41	64	85	47	71	65	56	38	55	38
HIS92_RS00105	NZ_CP051858.1	19800	20072	+	273	6	5	6	6	11	14	16	7	5	7	12	6
HIS92_RS00110	NZ_CP051858.1	20069	20401	+	333	17	20	9	12	6	6	10	8	11	16	10	4
HIS92_RS00115	NZ_CP051858.1	20398	21642	+	1245	57	34	56	39	30	57	67	61	36	38	48	36
HIS92_RS00120	NZ_CP051858.1	21700	22423	-	724	408	475	783	941	907	1474	469	528	599	838	814	757
HIS92_RS00125	NZ_CP051858.1	22581	22889	-	309	489	493	809	525	437	726	516	661	989	373	503	443
HIS92_RS00130	NZ_CP051858.1	22877	23326	-	450	740	601	1091	709	691	1160	504	860	1358	506	664	656
HIS92_RS00135	NZ_CP051858.1	23585	24349	+	765	443	412	688	488	516	547	323	413	541	285	348	281
HIS92_RS00140	NZ_CP051858.1	24583	25188	+	606	376	392	489	387	355	368	236	403	393	350	359	217
HIS92_RS00145	NZ_CP051858.1	25357	25581	+	225	2	0	0	2	4	2	1	3	10	3	3	2
HIS92_RS00150	NZ_CP051858.1	25622	26803	-	1182	787	662	847	703	592	746	140	231	262	234	226	125
HIS92_RS00155	NZ_CP051858.1	27143	28765	-	1623	12	7	5	9	2	3	8	4	10	2	1	5
HIS92_RS00160	NZ_CP051858.1	28785	29786	-	1002	5	5	3	2	2	5	3	0	4	2	2	1
HIS92_RS00165	NZ_CP051858.1	29827	30888	-	1062	0	0	1	2	0	0	1	3	1	0	0	0
HIS92_RS00170	NZ_CP051858.1	31075	31401	-	327	7	18	11	28	22	5	8	7	10	15	9	4
HIS92_RS00175	NZ_CP051858.1	31662	32018	-	357	5	3	11	14	4	11	6	2	5	3	12	5
HIS92_RS00180	NZ_CP051858.1	32303	33229	+	927	27	17	27	32	24	28	3	18	22	16	19	6
HIS92_RS00185	NZ_CP051858.1	33249	33845	-	597	3	3	3	7	1	4	5	5	10	1	4	8
HIS92_RS00190	NZ_CP051858.1	33842	34333	-	492	1	5	1	5	2	3	0	2	1	2	1	1
HIS92_RS00195	NZ_CP051858.1	34866	35096	-	231	36	30	83	42	39	46	3	13	19	13	15	17
HIS92_RS00200	NZ_CP051858.1	35364	35627	-	264	5	2	2	8	4	5	1	0	3	0	1	1
HIS92_RS00205	NZ_CP051858.1	35753	36313	-	561	7	4	15	9	6	15	3	5	7	6	10	7
HIS92_RS00210	NZ_CP051858.1	36416	37177	-	762	234	195	231	393	386	390	130	170	150	206	190	142
HIS92_RS00215	NZ_CP051858.1	37405	39144	-	1740	18	13	29	24	24	25	18	6	25	10	19	8
HIS92_RS00220	NZ_CP051858.1	39475	40317	-	843	353	375	589	348	377	471	107	167	215	96	95	89
HIS92_RS00225	NZ_CP051858.1	40507	41883	-	1377	21	15	20	15	19	24	7	5	8	3	4	7
HIS92_RS00230	NZ_CP051858.1	41876	42523	-	648	12	5	13	7	8	8	1	1	4	1	0	0
HIS92_RS00235	NZ_CP051858.1	42645	43061	+	417	0	0	0	0	0	1	0	0	1	0	0	0
HIS92_RS00240	NZ_CP051858.1	43260	43754	-	495	0	0	0	1	0	1	0	0	0	0	0	0
HIS92_RS00245	NZ_CP051858.1	43779	45179	-	1401	16	3	9	11	10	24	9	3	9	4	8	6
HIS92_RS00250	NZ_CP051858.1	45197	45946	-	750	4	1	2	2	3	8	4	5	1	3	1	2
HIS92_RS00255	NZ_CP051858.1	45959	47548	-	1590	3	6	9	15	14	14	6	4	7	10	8	10
HIS92_RS00260	NZ_CP051858.1	47838	48698	-	861	1205	941	1637	1208	1064	1230	803	1188	1316	692	802	454
HIS92_RS00265	NZ_CP051858.1	49159	49611	-	453	1	3	2	5	3	4	1	2	2	7	5	2
HIS92_RS00270	NZ_CP051858.1	49626	49826	-	201	2	1	3	0	1	0	0	0	0	0	0	0
HIS92_RS00275	NZ_CP051858.1	50194	50742	-	549	5	4	1	1	1	4	2	0	6	0	6	1
HIS92_RS00280	NZ_CP051858.1	51400	51831	+	432	84	60	96	86	94	80	41	54	79	59	51	40
HIS92_RS00285	NZ_CP051858.1	52185	52955	-	771	100	93	78	105	102	105	13	29	35	48	36	22
HIS92_RS00290	NZ_CP051858.1	53212	53991	-	780	6	2	9	15	13	9	2	3	1	3	1	0
HIS92_RS00295	NZ_CP051858.1	54244	54564	+	321	2148	1620	2550	2075	1985	2115	1598	2815	2806	2088	2090	1564
HIS92_RS00300	NZ_CP051858.1	54619	56154	-	1536	409	358	461	394	351	453	229	314	270	259	242	172
HIS92_RS00305	NZ_CP051858.1	56178	56885	-	708	98	60	102	89	68	93	65	61	59	45	45	43
HIS92_RS00310	NZ_CP051858.1	56904	57614	-	711	32	19	18	21	16	31	14	15	13	12	15	4
HIS92_RS00315	NZ_CP051858.1	57628	58251	-	624	19	11	29	22	37	26	22	16	16	18	6	11
HIS92_RS00320	NZ_CP051858.1	58412	60148	-	1737	25	28	21	10	9	29	25	9	22	22	11	16
HIS92_RS00325	NZ_CP051858.1	60250	61464	+	1215	7	4	4	1	1	3	14	13	3	5	5	6
HIS92_RS00330	NZ_CP051858.1	61615	62286	-	672	1	2	3	1	3	1	1	6	2	2	1	4
HIS92_RS00335	NZ_CP051858.1	62310	62480	-	171	0	2	0	0	0	0	0	0	0	0	3	0
HIS92_RS00340	NZ_CP051858.1	62621	62767	-	147	7	7	9	8	15	9	2	8	19	3	11	6
HIS92_RS00345	NZ_CP051858.1	63028	63423	-	396	1709	1260	1983	1786	1583	2033	1490	2322	2440	1690	1579	1364
HIS92_RS00350	NZ_CP051858.1	63503	63745	-	243	0	1	1	5	2	3	1	2	6	0	3	1
HIS92_RS00355	NZ_CP051858.1	63924	64889	-	966	7	8	10	2	3	9	7	2	10	3	6	3
HIS92_RS00360	NZ_CP051858.1	64967	65155	-	189	8	4	11	10	6	10	10	11	11	2	4	3
HIS92_RS00365	NZ_CP051858.1	65225	66010	-	786	15	11	17	12	17	12	4	11	13	19	2	3
HIS92_RS00370	NZ_CP051858.1	66206	66574	-	369	2	7	8	5	3	2	14	3	3	2	5	0
HIS92_RS00375	NZ_CP051858.1	67051	67203	+	153	0	1	0	0	0	0	0	0	0	0	0	0
HIS92_RS00380	NZ_CP051858.1	67373	67807	+	435	8	10	15	13	12	9	4	3	25	5	15	5
HIS92_RS00385	NZ_CP051858.1	68102	69304	+	1203	418	356	749	496	411	472	561	740	1238	494	673	516
HIS92_RS00390	NZ_CP051858.1	69458	69757	+	300	5	4	7	2	10	5	14	13	23	6	10	9
HIS92_RS00395	NZ_CP051858.1	69927	70289	+	363	10	3	18	12	12	13	2	3	6	5	4	1
HIS92_RS00400	NZ_CP051858.1	70584	71783	+	1200	540	383	439	543	572	554	432	449	396	383	412	379
HIS92_RS00405	NZ_CP051858.1	71840	72238	+	399	25	19	19	33	29	42	28	31	31	28	26	14
HIS92_RS00410	NZ_CP051858.1	72323	73144	+	822	50	50	47	86	65	77	36	39	91	74	88	82
HIS92_RS00415	NZ_CP051858.1	73159	73368	-	210	0	0	5	0	1	2	0	0	3	0	1	3
HIS92_RS00420	NZ_CP051858.1	73426	74019	-	594	2	0	5	1	0	3	0	3	0	0	2	6
HIS92_RS00425	NZ_CP051858.1	74462	74602	+	141	7	8	16	29	31	35	3	3	2	9	6	3
HIS92_RS00430	NZ_CP051858.1	74630	74773	+	144	6	3	8	14	19	7	1	0	2	6	8	1
HIS92_RS00435	NZ_CP051858.1	74802	74945	+	144	2	3	8	11	3	10	0	1	4	9	4	7
HIS92_RS00440	NZ_CP051858.1	74972	75112	+	141	0	9	3	2	8	4	3	0	2	10	8	5
HIS92_RS00445	NZ_CP051858.1	75140	75280	+	141	8	17	20	29	30	29	8	8	3	13	24	12
